/homes/as3159/.local/lib/python3.6/site-packages/torch/nn/modules/container.py:141: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Torchviz was not found.
Current task: 0
Epoch: 0001 cost= 0.752406895
Epoch: 0002 cost= 0.319987983
Epoch: 0003 cost= 0.142108545
Epoch: 0004 cost= 0.072238363
Epoch: 0005 cost= 0.041797251
Epoch: 0006 cost= 0.027336990
Epoch: 0007 cost= 0.019971017
Epoch: 0008 cost= 0.015981186
Epoch: 0009 cost= 0.013622709
Epoch: 0010 cost= 0.012087848
Epoch: 0011 cost= 0.010960938
Epoch: 0012 cost= 0.010036124
Epoch: 0013 cost= 0.009211790
Epoch: 0014 cost= 0.008446933
Epoch: 0015 cost= 0.007731598
Epoch: 0016 cost= 0.007061679
Epoch: 0017 cost= 0.006433424
Epoch: 0018 cost= 0.005848006
Epoch: 0019 cost= 0.005305339
Epoch: 0020 cost= 0.004801925
Epoch: 0021 cost= 0.004335013
Epoch: 0022 cost= 0.003915848
Epoch: 0023 cost= 0.003547173
Epoch: 0024 cost= 0.003223875
Epoch: 0025 cost= 0.002940683
Epoch: 0026 cost= 0.002691174
Epoch: 0027 cost= 0.002470032
Epoch: 0028 cost= 0.002273812
Epoch: 0029 cost= 0.002103424
Epoch: 0030 cost= 0.001956546
Epoch: 0031 cost= 0.001832163
Epoch: 0032 cost= 0.001726391
Epoch: 0033 cost= 0.001635183
Epoch: 0034 cost= 0.001555211
Epoch: 0035 cost= 0.001482811
Epoch: 0036 cost= 0.001414634
Epoch: 0037 cost= 0.001348630
Epoch: 0038 cost= 0.001282231
Epoch: 0039 cost= 0.001215536
Epoch: 0040 cost= 0.001149869
Epoch: 0041 cost= 0.001085577
Epoch: 0042 cost= 0.001025632
Epoch: 0043 cost= 0.000970618
Epoch: 0044 cost= 0.000921343
Epoch: 0045 cost= 0.000878111
Epoch: 0046 cost= 0.000839079
Epoch: 0047 cost= 0.000802730
Epoch: 0048 cost= 0.000767379
Epoch: 0049 cost= 0.000731769
Epoch: 0050 cost= 0.000695406
Epoch: 0051 cost= 0.000658634
Epoch: 0052 cost= 0.000622146
Epoch: 0053 cost= 0.000586953
Epoch: 0054 cost= 0.000554749
