Current task: 0
Epoch: 0001 cost= 0.691127300
Epoch: 0002 cost= 0.691096961
Epoch: 0003 cost= 0.691066265
Epoch: 0004 cost= 0.691035151
Epoch: 0005 cost= 0.691004217
Epoch: 0006 cost= 0.690973580
Epoch: 0007 cost= 0.690944016
Epoch: 0008 cost= 0.690917253
Epoch: 0009 cost= 0.690894306
Epoch: 0010 cost= 0.690873682
Epoch: 0011 cost= 0.690854490
Epoch: 0012 cost= 0.690835357
Epoch: 0013 cost= 0.690816283
Epoch: 0014 cost= 0.690797627
Epoch: 0015 cost= 0.690778852
Epoch: 0016 cost= 0.690759778
Epoch: 0017 cost= 0.690740108
Epoch: 0018 cost= 0.690720201
Epoch: 0019 cost= 0.690699816
Epoch: 0020 cost= 0.690678954
Epoch: 0021 cost= 0.690657556
Epoch: 0022 cost= 0.690636098
Epoch: 0023 cost= 0.690614641
Epoch: 0024 cost= 0.690593004
Epoch: 0025 cost= 0.690571427
Epoch: 0026 cost= 0.690549612
Epoch: 0027 cost= 0.690526903
Epoch: 0028 cost= 0.690503538
Epoch: 0029 cost= 0.690479517
Epoch: 0030 cost= 0.690454304
Epoch: 0031 cost= 0.690428436
Epoch: 0032 cost= 0.690401554
Epoch: 0033 cost= 0.690373480
Epoch: 0034 cost= 0.690344691
Epoch: 0035 cost= 0.690314889
Epoch: 0036 cost= 0.690284014
Epoch: 0037 cost= 0.690252006
Epoch: 0038 cost= 0.690218747
Epoch: 0039 cost= 0.690183997
Epoch: 0040 cost= 0.690148115
Epoch: 0041 cost= 0.690110683
Epoch: 0042 cost= 0.690072119
Epoch: 0043 cost= 0.690032601
Epoch: 0044 cost= 0.689992130
Epoch: 0045 cost= 0.689950526
Epoch: 0046 cost= 0.689907730
Epoch: 0047 cost= 0.689863265
Epoch: 0048 cost= 0.689817011
Epoch: 0049 cost= 0.689769030
Epoch: 0050 cost= 0.689719439
Optimization Finished!
initializing first head
Epoch: 0001 cost= 2.556969643
Epoch: 0002 cost= 2.553507090
Epoch: 0003 cost= 2.551159620
Epoch: 0004 cost= 2.548426867
Epoch: 0005 cost= 2.542896032
Epoch: 0006 cost= 2.541995764
Epoch: 0007 cost= 2.525641918
Epoch: 0008 cost= 2.508173943
Epoch: 0009 cost= 2.518357277
Epoch: 0010 cost= 2.481502056
Epoch: 0011 cost= 2.469618320
Epoch: 0012 cost= 2.424904346
Epoch: 0013 cost= 2.406717300
Epoch: 0014 cost= 2.365058184
Epoch: 0015 cost= 2.300808430
Epoch: 0016 cost= 2.282310009
Epoch: 0017 cost= 2.240037680
Epoch: 0018 cost= 2.206979752
Epoch: 0019 cost= 2.074393511
Epoch: 0020 cost= 2.021797657
Epoch: 0021 cost= 2.003871441
Epoch: 0022 cost= 1.982120395
Epoch: 0023 cost= 1.931606889
Epoch: 0024 cost= 1.901238918
Epoch: 0025 cost= 1.890479803
Epoch: 0026 cost= 1.875670195
Epoch: 0027 cost= 1.870866656
Epoch: 0028 cost= 1.868373990
Epoch: 0029 cost= 1.866456270
Epoch: 0030 cost= 1.863283634
Epoch: 0031 cost= 1.861094952
Epoch: 0032 cost= 1.859511137
Epoch: 0033 cost= 1.858513951
Epoch: 0034 cost= 1.857508302
Epoch: 0035 cost= 1.856809497
Epoch: 0036 cost= 1.854501009
Epoch: 0037 cost= 1.852770567
Epoch: 0038 cost= 1.852792978
Epoch: 0039 cost= 1.851239920
Epoch: 0040 cost= 1.849826217
Epoch: 0041 cost= 1.849212170
Epoch: 0042 cost= 1.846878767
Epoch: 0043 cost= 1.846070170
Epoch: 0044 cost= 1.843635082
Epoch: 0045 cost= 1.841768503
Epoch: 0046 cost= 1.840363979
Epoch: 0047 cost= 1.838916421
Epoch: 0048 cost= 1.838439584
Epoch: 0049 cost= 1.837314129
Epoch: 0050 cost= 1.834644556
Optimization Finished!
updating prior...
Saving weights before core set training
Accuracy is 0.9990543735224586
Reloading previous weights after core set training
creating a new head
Current task: 1
Epoch: 0001 cost= 1.142796278
Epoch: 0002 cost= 0.953569531
Epoch: 0003 cost= 0.981577456
Epoch: 0004 cost= 0.935540855
Epoch: 0005 cost= 0.833488882
Epoch: 0006 cost= 0.776070595
Epoch: 0007 cost= 0.786345422
Epoch: 0008 cost= 0.760643423
Epoch: 0009 cost= 0.746547043
Epoch: 0010 cost= 0.726637959
Epoch: 0011 cost= 0.701311052
Epoch: 0012 cost= 0.684752345
Epoch: 0013 cost= 0.671710908
Epoch: 0014 cost= 0.666773915
Epoch: 0015 cost= 0.655618548
Epoch: 0016 cost= 0.653663993
Epoch: 0017 cost= 0.630070090
Epoch: 0018 cost= 0.633493304
Epoch: 0019 cost= 0.617883027
Epoch: 0020 cost= 0.611066103
Epoch: 0021 cost= 0.576172888
Epoch: 0022 cost= 0.571882725
Epoch: 0023 cost= 0.548753917
Epoch: 0024 cost= 0.537946224
Epoch: 0025 cost= 0.521552086
Epoch: 0026 cost= 0.502992213
Epoch: 0027 cost= 0.464159548
Epoch: 0028 cost= 0.442425281
Epoch: 0029 cost= 0.456070691
Epoch: 0030 cost= 0.395498455
Epoch: 0031 cost= 0.387085199
Epoch: 0032 cost= 0.385985255
Epoch: 0033 cost= 0.351694465
Epoch: 0034 cost= 0.336131781
Epoch: 0035 cost= 0.326506168
Epoch: 0036 cost= 0.317893952
Epoch: 0037 cost= 0.300409198
Epoch: 0038 cost= 0.292156667
Epoch: 0039 cost= 0.283752322
Epoch: 0040 cost= 0.276211560
Epoch: 0041 cost= 0.278367817
Epoch: 0042 cost= 0.272269547
Epoch: 0043 cost= 0.262925893
Epoch: 0044 cost= 0.267613202
Epoch: 0045 cost= 0.264454454
Epoch: 0046 cost= 0.259192228
Epoch: 0047 cost= 0.260461926
Epoch: 0048 cost= 0.258732855
Epoch: 0049 cost= 0.256727010
Epoch: 0050 cost= 0.252066702
Optimization Finished!
updating prior...
Saving weights before core set training
Accuracy is 0.9995271867612293
Accuracy is 0.9711067580803134
Reloading previous weights after core set training
creating a new head
Current task: 2
Epoch: 0001 cost= 1.217310905
Epoch: 0002 cost= 1.008346319
Epoch: 0003 cost= 0.923412144
Epoch: 0004 cost= 0.793176711
Epoch: 0005 cost= 0.737660527
Epoch: 0006 cost= 0.690786839
Epoch: 0007 cost= 0.665695667
Epoch: 0008 cost= 0.624531686
Epoch: 0009 cost= 0.629247665
Epoch: 0010 cost= 0.596841395
Epoch: 0011 cost= 0.624617875
Epoch: 0012 cost= 0.565857887
Epoch: 0013 cost= 0.554561913
Epoch: 0014 cost= 0.531638086
Epoch: 0015 cost= 0.525727570
Epoch: 0016 cost= 0.485823780
Epoch: 0017 cost= 0.495173901
Epoch: 0018 cost= 0.464187950
Epoch: 0019 cost= 0.447395533
Epoch: 0020 cost= 0.423732668
Epoch: 0021 cost= 0.418057948
Epoch: 0022 cost= 0.413858891
Epoch: 0023 cost= 0.380203247
Epoch: 0024 cost= 0.385860622
Epoch: 0025 cost= 0.349729538
Epoch: 0026 cost= 0.335988879
Epoch: 0027 cost= 0.341483831
Epoch: 0028 cost= 0.325937599
Epoch: 0029 cost= 0.313146532
Epoch: 0030 cost= 0.300005406
Epoch: 0031 cost= 0.298427135
Epoch: 0032 cost= 0.293678701
Epoch: 0033 cost= 0.279189587
Epoch: 0034 cost= 0.271714091
Epoch: 0035 cost= 0.268029392
Epoch: 0036 cost= 0.261795074
Epoch: 0037 cost= 0.261350811
Epoch: 0038 cost= 0.244494110
Epoch: 0039 cost= 0.244939163
Epoch: 0040 cost= 0.237486064
Epoch: 0041 cost= 0.230469227
Epoch: 0042 cost= 0.229743317
Epoch: 0043 cost= 0.232218444
Epoch: 0044 cost= 0.228560314
Epoch: 0045 cost= 0.220146060
Epoch: 0046 cost= 0.223000705
Epoch: 0047 cost= 0.213007271
Epoch: 0048 cost= 0.214489162
Epoch: 0049 cost= 0.205916345
Epoch: 0050 cost= 0.207344353
Optimization Finished!
updating prior...
Saving weights before core set training
Accuracy is 0.9148936170212766
Accuracy is 0.9231145935357493
Accuracy is 0.9871931696905016
Reloading previous weights after core set training
creating a new head
Current task: 3
Epoch: 0001 cost= 0.834958136
Epoch: 0002 cost= 0.669370711
Epoch: 0003 cost= 0.568187833
Epoch: 0004 cost= 0.483472168
Epoch: 0005 cost= 0.415608108
Epoch: 0006 cost= 0.361310989
Epoch: 0007 cost= 0.299797714
Epoch: 0008 cost= 0.259239316
Epoch: 0009 cost= 0.226372913
Epoch: 0010 cost= 0.200571030
Epoch: 0011 cost= 0.185647532
Epoch: 0012 cost= 0.159177378
Epoch: 0013 cost= 0.148755074
Epoch: 0014 cost= 0.139261305
Epoch: 0015 cost= 0.130078256
Epoch: 0016 cost= 0.126834869
Epoch: 0017 cost= 0.122288592
Epoch: 0018 cost= 0.120680183
Epoch: 0019 cost= 0.118771560
Epoch: 0020 cost= 0.119832091
Epoch: 0021 cost= 0.117556848
Epoch: 0022 cost= 0.117489733
Epoch: 0023 cost= 0.118257180
Epoch: 0024 cost= 0.115285240
Epoch: 0025 cost= 0.114564627
Epoch: 0026 cost= 0.115447901
Epoch: 0027 cost= 0.112613432
Epoch: 0028 cost= 0.111772165
Epoch: 0029 cost= 0.111268878
Epoch: 0030 cost= 0.108532354
Epoch: 0031 cost= 0.107637502
Epoch: 0032 cost= 0.106371790
Epoch: 0033 cost= 0.105190255
Epoch: 0034 cost= 0.102605008
Epoch: 0035 cost= 0.101371929
Epoch: 0036 cost= 0.100081056
Epoch: 0037 cost= 0.099339351
Epoch: 0038 cost= 0.096488878
Epoch: 0039 cost= 0.095816664
Epoch: 0040 cost= 0.093492195
Epoch: 0041 cost= 0.092777297
Epoch: 0042 cost= 0.091180898
Epoch: 0043 cost= 0.090031601
Epoch: 0044 cost= 0.089143686
Epoch: 0045 cost= 0.087297454
Epoch: 0046 cost= 0.087311901
Epoch: 0047 cost= 0.086351551
Epoch: 0048 cost= 0.084845275
Epoch: 0049 cost= 0.083809160
Epoch: 0050 cost= 0.083294913
Optimization Finished!
updating prior...
Saving weights before core set training
Accuracy is 0.933806146572104
Accuracy is 0.9138099902056807
Accuracy is 0.9759871931696905
Accuracy is 0.9934541792547835
Reloading previous weights after core set training
creating a new head
Current task: 4
Epoch: 0001 cost= 2.987185955
Epoch: 0002 cost= 2.331132889
Epoch: 0003 cost= 1.864265919
Epoch: 0004 cost= 1.454925179
Epoch: 0005 cost= 1.176629663
Epoch: 0006 cost= 0.953205168
Epoch: 0007 cost= 0.802814424
Epoch: 0008 cost= 0.709658504
Epoch: 0009 cost= 0.637796998
Epoch: 0010 cost= 0.590991974
Epoch: 0011 cost= 0.545334280
Epoch: 0012 cost= 0.517811835
Epoch: 0013 cost= 0.494434178
Epoch: 0014 cost= 0.469936430
