Torchviz was not found.
creating a new head
Saving weights before core set training
Epoch: 0001 cost= 1124.796020508
Epoch: 0002 cost= 1124.495117188
Epoch: 0003 cost= 1124.179077148
Epoch: 0004 cost= 1123.893188477
Epoch: 0005 cost= 1123.616455078
Epoch: 0006 cost= 1123.314086914
Epoch: 0007 cost= 1123.039794922
Epoch: 0008 cost= 1122.757934570
Epoch: 0009 cost= 1122.484497070
Epoch: 0010 cost= 1122.193969727
Epoch: 0011 cost= 1121.904541016
Epoch: 0012 cost= 1121.604858398
Epoch: 0013 cost= 1121.298461914
Epoch: 0014 cost= 1121.020996094
Epoch: 0015 cost= 1120.726806641
Epoch: 0016 cost= 1120.440673828
Epoch: 0017 cost= 1120.144897461
Epoch: 0018 cost= 1119.829833984
Epoch: 0019 cost= 1119.572509766
Epoch: 0020 cost= 1119.236206055
Epoch: 0021 cost= 1118.966186523
Epoch: 0022 cost= 1118.649658203
Epoch: 0023 cost= 1118.364868164
Epoch: 0024 cost= 1118.077636719
Epoch: 0025 cost= 1117.774780273
Epoch: 0026 cost= 1117.520263672
Epoch: 0027 cost= 1117.234619141
Epoch: 0028 cost= 1116.945068359
Epoch: 0029 cost= 1116.679931641
Epoch: 0030 cost= 1116.390502930
Epoch: 0031 cost= 1116.090209961
Epoch: 0032 cost= 1115.820434570
Epoch: 0033 cost= 1115.587646484
Epoch: 0034 cost= 1115.306030273
Epoch: 0035 cost= 1115.013427734
Epoch: 0036 cost= 1114.767456055
Epoch: 0037 cost= 1114.515991211
Epoch: 0038 cost= 1114.257690430
Epoch: 0039 cost= 1114.013305664
Epoch: 0040 cost= 1113.718383789
Epoch: 0041 cost= 1113.453369141
Epoch: 0042 cost= 1113.214843750
Epoch: 0043 cost= 1112.996704102
Epoch: 0044 cost= 1112.745605469
Epoch: 0045 cost= 1112.457641602
Epoch: 0046 cost= 1112.220214844
Epoch: 0047 cost= 1111.954101562
Epoch: 0048 cost= 1111.709472656
Epoch: 0049 cost= 1111.471435547
Epoch: 0050 cost= 1111.211547852
Epoch: 0051 cost= 1110.973144531
Epoch: 0052 cost= 1110.708496094
Epoch: 0053 cost= 1110.476440430
Epoch: 0054 cost= 1110.251831055
Epoch: 0055 cost= 1109.973266602
Epoch: 0056 cost= 1109.737548828
Epoch: 0057 cost= 1109.488159180
Epoch: 0058 cost= 1109.272338867
Epoch: 0059 cost= 1109.026245117
Epoch: 0060 cost= 1108.787841797
Epoch: 0061 cost= 1108.542846680
Epoch: 0062 cost= 1108.288940430
Epoch: 0063 cost= 1108.054931641
Epoch: 0064 cost= 1107.802612305
Epoch: 0065 cost= 1107.591064453
Epoch: 0066 cost= 1107.370971680
Epoch: 0067 cost= 1107.103759766
Epoch: 0068 cost= 1106.868164062
Epoch: 0069 cost= 1106.645751953
Epoch: 0070 cost= 1106.387329102
Epoch: 0071 cost= 1106.151855469
Epoch: 0072 cost= 1105.905029297
Epoch: 0073 cost= 1105.683959961
Epoch: 0074 cost= 1105.440673828
Epoch: 0075 cost= 1105.222290039
Epoch: 0076 cost= 1104.978637695
Epoch: 0077 cost= 1104.759521484
Epoch: 0078 cost= 1104.518432617
Epoch: 0079 cost= 1104.279296875
Epoch: 0080 cost= 1104.057373047
Epoch: 0081 cost= 1103.814697266
Epoch: 0082 cost= 1103.596313477
Epoch: 0083 cost= 1103.331665039
Epoch: 0084 cost= 1103.127441406
Epoch: 0085 cost= 1102.879272461
Epoch: 0086 cost= 1102.655029297
Epoch: 0087 cost= 1102.430053711
Epoch: 0088 cost= 1102.183959961
Epoch: 0089 cost= 1101.960083008
Epoch: 0090 cost= 1101.726440430
Epoch: 0091 cost= 1101.504272461
Epoch: 0092 cost= 1101.274414062
Epoch: 0093 cost= 1101.035522461
Epoch: 0094 cost= 1100.813110352
Epoch: 0095 cost= 1100.590576172
Epoch: 0096 cost= 1100.333984375
Epoch: 0097 cost= 1100.112670898
Epoch: 0098 cost= 1099.876831055
Epoch: 0099 cost= 1099.659423828
Epoch: 0100 cost= 1099.419433594
Optimization Finished!
Accuracy is 0.8114
Reloading previous weights after core set training
Saving weights before core set training
Epoch: 0001 cost= 563.503601074
Epoch: 0002 cost= 563.169555664
Epoch: 0003 cost= 562.857055664
Epoch: 0004 cost= 562.565551758
Epoch: 0005 cost= 562.244079590
Epoch: 0006 cost= 561.944824219
Epoch: 0007 cost= 561.646484375
Epoch: 0008 cost= 561.315246582
Epoch: 0009 cost= 561.014404297
Epoch: 0010 cost= 560.695007324
Epoch: 0011 cost= 560.376342773
Epoch: 0012 cost= 560.052795410
Epoch: 0013 cost= 559.748046875
Epoch: 0014 cost= 559.419921875
Epoch: 0015 cost= 559.105346680
Epoch: 0016 cost= 558.760864258
Epoch: 0017 cost= 558.494995117
Epoch: 0018 cost= 558.176391602
Epoch: 0019 cost= 557.858032227
Epoch: 0020 cost= 557.575561523
Epoch: 0021 cost= 557.296203613
Epoch: 0022 cost= 557.031677246
Epoch: 0023 cost= 556.729492188
Epoch: 0024 cost= 556.477478027
Epoch: 0025 cost= 556.215209961
Epoch: 0026 cost= 555.942993164
Epoch: 0027 cost= 555.681396484
Epoch: 0028 cost= 555.437133789
Epoch: 0029 cost= 555.137329102
Epoch: 0030 cost= 554.882690430
Epoch: 0031 cost= 554.641479492
Epoch: 0032 cost= 554.396484375
Epoch: 0033 cost= 554.146972656
Epoch: 0034 cost= 553.907531738
Epoch: 0035 cost= 553.635314941
Epoch: 0036 cost= 553.425292969
Epoch: 0037 cost= 553.177368164
Epoch: 0038 cost= 552.891967773
Epoch: 0039 cost= 552.670776367
Epoch: 0040 cost= 552.420532227
Epoch: 0041 cost= 552.195251465
Epoch: 0042 cost= 551.958374023
Epoch: 0043 cost= 551.717529297
Epoch: 0044 cost= 551.461303711
Epoch: 0045 cost= 551.238952637
Epoch: 0046 cost= 551.010131836
Epoch: 0047 cost= 550.768432617
Epoch: 0048 cost= 550.526611328
Epoch: 0049 cost= 550.277587891
Epoch: 0050 cost= 550.048461914
Epoch: 0051 cost= 549.811462402
Epoch: 0052 cost= 549.583862305
Epoch: 0053 cost= 549.357666016
Epoch: 0054 cost= 549.123901367
Epoch: 0055 cost= 548.889282227
Epoch: 0056 cost= 548.654541016
Epoch: 0057 cost= 548.440612793
Epoch: 0058 cost= 548.201477051
Epoch: 0059 cost= 547.969360352
Epoch: 0060 cost= 547.735717773
Epoch: 0061 cost= 547.512573242
Epoch: 0062 cost= 547.288024902
Epoch: 0063 cost= 547.052856445
Epoch: 0064 cost= 546.822143555
Epoch: 0065 cost= 546.591918945
Epoch: 0066 cost= 546.359985352
Epoch: 0067 cost= 546.130126953
Epoch: 0068 cost= 545.891967773
Epoch: 0069 cost= 545.662719727
Epoch: 0070 cost= 545.445800781
Epoch: 0071 cost= 545.219726562
Epoch: 0072 cost= 544.973266602
Epoch: 0073 cost= 544.757629395
Epoch: 0074 cost= 544.525329590
Epoch: 0075 cost= 544.304199219
Epoch: 0076 cost= 544.065429688
Epoch: 0077 cost= 543.841674805
Epoch: 0078 cost= 543.629516602
Epoch: 0079 cost= 543.386291504
Epoch: 0080 cost= 543.159545898
Epoch: 0081 cost= 542.935607910
Epoch: 0082 cost= 542.709106445
Epoch: 0083 cost= 542.482299805
Epoch: 0084 cost= 542.259887695
Epoch: 0085 cost= 542.028198242
Epoch: 0086 cost= 541.798461914
Epoch: 0087 cost= 541.570800781
Epoch: 0088 cost= 541.342529297
Epoch: 0089 cost= 541.123413086
Epoch: 0090 cost= 540.884887695
Epoch: 0091 cost= 540.658020020
Epoch: 0092 cost= 540.438598633
Epoch: 0093 cost= 540.205383301
Epoch: 0094 cost= 539.977661133
Epoch: 0095 cost= 539.751831055
Epoch: 0096 cost= 539.527709961
Epoch: 0097 cost= 539.304443359
Epoch: 0098 cost= 539.076293945
Epoch: 0099 cost= 538.848937988
Epoch: 0100 cost= 538.623107910
Optimization Finished!
Accuracy is 0.8089
Accuracy is 0.7946
Reloading previous weights after core set training
Saving weights before core set training
Epoch: 0001 cost= 376.402709961
Epoch: 0002 cost= 376.082977295
Epoch: 0003 cost= 375.765960693
Epoch: 0004 cost= 375.452606201
Epoch: 0005 cost= 375.134948730
Epoch: 0006 cost= 374.816497803
Epoch: 0007 cost= 374.492950439
Epoch: 0008 cost= 374.145874023
Epoch: 0009 cost= 373.849334717
Epoch: 0010 cost= 373.483245850
Epoch: 0011 cost= 373.167236328
Epoch: 0012 cost= 372.825195312
Epoch: 0013 cost= 372.497894287
Epoch: 0014 cost= 372.183227539
Epoch: 0015 cost= 371.839233398
Epoch: 0016 cost= 371.546112061
Epoch: 0017 cost= 371.257080078
Epoch: 0018 cost= 370.930725098
Epoch: 0019 cost= 370.676452637
Epoch: 0020 cost= 370.380218506
Epoch: 0021 cost= 370.107513428
Epoch: 0022 cost= 369.839447021
Epoch: 0023 cost= 369.581542969
Epoch: 0024 cost= 369.339202881
Epoch: 0025 cost= 369.064208984
Epoch: 0026 cost= 368.812438965
Epoch: 0027 cost= 368.555328369
Epoch: 0028 cost= 368.287475586
Epoch: 0029 cost= 368.047180176
Epoch: 0030 cost= 367.797210693
Epoch: 0031 cost= 367.542449951
Epoch: 0032 cost= 367.306457520
Epoch: 0033 cost= 367.082977295
Epoch: 0034 cost= 366.838562012
Epoch: 0035 cost= 366.577819824
Epoch: 0036 cost= 366.343139648
Epoch: 0037 cost= 366.109008789
Epoch: 0038 cost= 365.866088867
Epoch: 0039 cost= 365.639312744
Epoch: 0040 cost= 365.396667480
Epoch: 0041 cost= 365.174102783
Epoch: 0042 cost= 364.946960449
Epoch: 0043 cost= 364.691680908
Epoch: 0044 cost= 364.465515137
Epoch: 0045 cost= 364.237426758
Epoch: 0046 cost= 364.007019043
Epoch: 0047 cost= 363.766906738
Epoch: 0048 cost= 363.530273438
Epoch: 0049 cost= 363.322082520
Epoch: 0050 cost= 363.082580566
Epoch: 0051 cost= 362.854187012
Epoch: 0052 cost= 362.636688232
Epoch: 0053 cost= 362.392150879
Epoch: 0054 cost= 362.152404785
Epoch: 0055 cost= 361.929016113
Epoch: 0056 cost= 361.709808350
Epoch: 0057 cost= 361.479858398
Epoch: 0058 cost= 361.250610352
Epoch: 0059 cost= 361.016113281
Epoch: 0060 cost= 360.789947510
Epoch: 0061 cost= 360.568725586
Epoch: 0062 cost= 360.336730957
Epoch: 0063 cost= 360.105316162
Epoch: 0064 cost= 359.886779785
Epoch: 0065 cost= 359.655761719
Epoch: 0066 cost= 359.420715332
Epoch: 0067 cost= 359.208496094
Epoch: 0068 cost= 358.980346680
Epoch: 0069 cost= 358.744873047
Epoch: 0070 cost= 358.520965576
Epoch: 0071 cost= 358.290771484
Epoch: 0072 cost= 358.064331055
Epoch: 0073 cost= 357.847503662
Epoch: 0074 cost= 357.611663818
Epoch: 0075 cost= 357.395782471
Epoch: 0076 cost= 357.161254883
Epoch: 0077 cost= 356.933013916
Epoch: 0078 cost= 356.704406738
Epoch: 0079 cost= 356.478515625
Epoch: 0080 cost= 356.252502441
Epoch: 0081 cost= 356.038696289
Epoch: 0082 cost= 355.803741455
Epoch: 0083 cost= 355.579345703
Epoch: 0084 cost= 355.354003906
Epoch: 0085 cost= 355.132598877
Epoch: 0086 cost= 354.894226074
Epoch: 0087 cost= 354.676544189
Epoch: 0088 cost= 354.445434570
Epoch: 0089 cost= 354.220794678
Epoch: 0090 cost= 354.001037598
Epoch: 0091 cost= 353.772033691
Epoch: 0092 cost= 353.542633057
Epoch: 0093 cost= 353.321289062
Epoch: 0094 cost= 353.100891113
Epoch: 0095 cost= 352.875976562
Epoch: 0096 cost= 352.651367188
Epoch: 0097 cost= 352.424621582
Epoch: 0098 cost= 352.189392090
Epoch: 0099 cost= 351.978820801
Epoch: 0100 cost= 351.738525391
Optimization Finished!
Accuracy is 0.8181
Accuracy is 0.791
Accuracy is 0.823
Reloading previous weights after core set training
Saving weights before core set training
Epoch: 0001 cost= 282.864776611
Epoch: 0002 cost= 282.506866455
Epoch: 0003 cost= 282.205017090
Epoch: 0004 cost= 281.880676270
Epoch: 0005 cost= 281.574157715
Epoch: 0006 cost= 281.287200928
Epoch: 0007 cost= 280.935791016
Epoch: 0008 cost= 280.603179932
Epoch: 0009 cost= 280.274047852
Epoch: 0010 cost= 279.891479492
Epoch: 0011 cost= 279.591552734
Epoch: 0012 cost= 279.307281494
Epoch: 0013 cost= 278.970703125
Epoch: 0014 cost= 278.628204346
Epoch: 0015 cost= 278.339935303
Epoch: 0016 cost= 278.034912109
Epoch: 0017 cost= 277.658050537
Epoch: 0018 cost= 277.390380859
Epoch: 0019 cost= 277.168457031
Epoch: 0020 cost= 276.895874023
Epoch: 0021 cost= 276.594238281
Epoch: 0022 cost= 276.399230957
Epoch: 0023 cost= 276.102325439
Epoch: 0024 cost= 275.784057617
Epoch: 0025 cost= 275.568511963
Epoch: 0026 cost= 275.340118408
Epoch: 0027 cost= 275.085815430
Epoch: 0028 cost= 274.840484619
Epoch: 0029 cost= 274.593872070
Epoch: 0030 cost= 274.326904297
Epoch: 0031 cost= 274.095458984
Epoch: 0032 cost= 273.881378174
Epoch: 0033 cost= 273.644775391
Epoch: 0034 cost= 273.409240723
Epoch: 0035 cost= 273.142089844
Epoch: 0036 cost= 272.910797119
Epoch: 0037 cost= 272.666961670
Epoch: 0038 cost= 272.443176270
Epoch: 0039 cost= 272.199218750
Epoch: 0040 cost= 271.971801758
Epoch: 0041 cost= 271.745941162
Epoch: 0042 cost= 271.508911133
Epoch: 0043 cost= 271.285827637
Epoch: 0044 cost= 271.025939941
Epoch: 0045 cost= 270.816101074
Epoch: 0046 cost= 270.583862305
Epoch: 0047 cost= 270.352050781
Epoch: 0048 cost= 270.118743896
Epoch: 0049 cost= 269.887634277
Epoch: 0050 cost= 269.657104492
Epoch: 0051 cost= 269.420654297
Epoch: 0052 cost= 269.204223633
Epoch: 0053 cost= 268.969635010
Epoch: 0054 cost= 268.748779297
Epoch: 0055 cost= 268.519958496
Epoch: 0056 cost= 268.290283203
Epoch: 0057 cost= 268.061676025
Epoch: 0058 cost= 267.835845947
Epoch: 0059 cost= 267.616149902
Epoch: 0060 cost= 267.388732910
Epoch: 0061 cost= 267.147491455
Epoch: 0062 cost= 266.937286377
Epoch: 0063 cost= 266.690856934
Epoch: 0064 cost= 266.462127686
Epoch: 0065 cost= 266.246643066
Epoch: 0066 cost= 266.017028809
Epoch: 0067 cost= 265.788391113
Epoch: 0068 cost= 265.563354492
Epoch: 0069 cost= 265.334411621
Epoch: 0070 cost= 265.114898682
Epoch: 0071 cost= 264.896118164
Epoch: 0072 cost= 264.674316406
Epoch: 0073 cost= 264.440307617
Epoch: 0074 cost= 264.205474854
Epoch: 0075 cost= 263.985046387
Epoch: 0076 cost= 263.759155273
Epoch: 0077 cost= 263.534545898
Epoch: 0078 cost= 263.308319092
Epoch: 0079 cost= 263.081481934
Epoch: 0080 cost= 262.863708496
Epoch: 0081 cost= 262.621643066
Epoch: 0082 cost= 262.411407471
Epoch: 0083 cost= 262.180816650
Epoch: 0084 cost= 261.952941895
Epoch: 0085 cost= 261.729980469
Epoch: 0086 cost= 261.508117676
Epoch: 0087 cost= 261.279449463
Epoch: 0088 cost= 261.049255371
Epoch: 0089 cost= 260.827697754
Epoch: 0090 cost= 260.616638184
Epoch: 0091 cost= 260.385589600
Epoch: 0092 cost= 260.160888672
Epoch: 0093 cost= 259.933715820
Epoch: 0094 cost= 259.698150635
Epoch: 0095 cost= 259.481628418
Epoch: 0096 cost= 259.260070801
Epoch: 0097 cost= 259.040191650
Epoch: 0098 cost= 258.811767578
Epoch: 0099 cost= 258.585144043
Epoch: 0100 cost= 258.365661621
Optimization Finished!
Accuracy is 0.8021
Accuracy is 0.793
Accuracy is 0.8162
Accuracy is 0.7981
Reloading previous weights after core set training
Saving weights before core set training
Epoch: 0001 cost= 226.754470825
Epoch: 0002 cost= 226.458526611
Epoch: 0003 cost= 226.187194824
Epoch: 0004 cost= 225.920288086
Epoch: 0005 cost= 225.634277344
Epoch: 0006 cost= 225.338668823
Epoch: 0007 cost= 225.032440186
Epoch: 0008 cost= 224.704467773
Epoch: 0009 cost= 224.400360107
Epoch: 0010 cost= 224.060882568
Epoch: 0011 cost= 223.774581909
Epoch: 0012 cost= 223.478271484
Epoch: 0013 cost= 223.213500977
Epoch: 0014 cost= 222.932266235
Epoch: 0015 cost= 222.686279297
Epoch: 0016 cost= 222.426467896
Epoch: 0017 cost= 222.212081909
Epoch: 0018 cost= 221.943008423
Epoch: 0019 cost= 221.737533569
Epoch: 0020 cost= 221.505462646
Epoch: 0021 cost= 221.313278198
Epoch: 0022 cost= 221.093383789
Epoch: 0023 cost= 220.878753662
Epoch: 0024 cost= 220.692108154
Epoch: 0025 cost= 220.494995117
Epoch: 0026 cost= 220.262298584
Epoch: 0027 cost= 220.057617188
Epoch: 0028 cost= 219.865371704
Epoch: 0029 cost= 219.656173706
Epoch: 0030 cost= 219.475860596
Epoch: 0031 cost= 219.259399414
Epoch: 0032 cost= 219.083648682
Epoch: 0033 cost= 218.883621216
Epoch: 0034 cost= 218.697021484
Epoch: 0035 cost= 218.510147095
Epoch: 0036 cost= 218.314834595
Epoch: 0037 cost= 218.132141113
Epoch: 0038 cost= 217.939758301
Epoch: 0039 cost= 217.758941650
Epoch: 0040 cost= 217.565093994
Epoch: 0041 cost= 217.379104614
Epoch: 0042 cost= 217.196884155
Epoch: 0043 cost= 217.000747681
Epoch: 0044 cost= 216.823287964
Epoch: 0045 cost= 216.643615723
Epoch: 0046 cost= 216.449218750
Epoch: 0047 cost= 216.277191162
Epoch: 0048 cost= 216.088043213
Epoch: 0049 cost= 215.913314819
Epoch: 0050 cost= 215.729400635
Epoch: 0051 cost= 215.549346924
Epoch: 0052 cost= 215.362579346
Epoch: 0053 cost= 215.171707153
Epoch: 0054 cost= 214.982742310
Epoch: 0055 cost= 214.815628052
Epoch: 0056 cost= 214.626586914
Epoch: 0057 cost= 214.452560425
Epoch: 0058 cost= 214.266128540
Epoch: 0059 cost= 214.079620361
Epoch: 0060 cost= 213.903762817
Epoch: 0061 cost= 213.718017578
Epoch: 0062 cost= 213.537872314
Epoch: 0063 cost= 213.360687256
Epoch: 0064 cost= 213.174423218
Epoch: 0065 cost= 212.996353149
Epoch: 0066 cost= 212.816955566
Epoch: 0067 cost= 212.636672974
Epoch: 0068 cost= 212.450836182
Epoch: 0069 cost= 212.269805908
Epoch: 0070 cost= 212.091583252
