/homes/as3159/.local/lib/python3.6/site-packages/torch/nn/modules/container.py:141: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Torchviz was not found.
Current task: 0
Epoch: 0001 cost= 0.763339877
Epoch: 0002 cost= 0.360688716
Epoch: 0003 cost= 0.177923843
Epoch: 0004 cost= 0.090116411
Epoch: 0005 cost= 0.050379120
Epoch: 0006 cost= 0.031821106
Epoch: 0007 cost= 0.022255687
Epoch: 0008 cost= 0.016702337
Epoch: 0009 cost= 0.013148987
Epoch: 0010 cost= 0.010726920
Epoch: 0011 cost= 0.009026920
Epoch: 0012 cost= 0.007818023
Epoch: 0013 cost= 0.006940419
Epoch: 0014 cost= 0.006289688
Epoch: 0015 cost= 0.005791374
Epoch: 0016 cost= 0.005395419
Epoch: 0017 cost= 0.005059002
Epoch: 0018 cost= 0.004763653
Epoch: 0019 cost= 0.004491298
Epoch: 0020 cost= 0.004231811
Epoch: 0021 cost= 0.003982661
Epoch: 0022 cost= 0.003742023
Epoch: 0023 cost= 0.003513535
Epoch: 0024 cost= 0.003299633
Epoch: 0025 cost= 0.003102791
Epoch: 0026 cost= 0.002923005
Epoch: 0027 cost= 0.002761048
Epoch: 0028 cost= 0.002614930
Epoch: 0029 cost= 0.002482811
Epoch: 0030 cost= 0.002362369
Epoch: 0031 cost= 0.002249419
Epoch: 0032 cost= 0.002143665
Epoch: 0033 cost= 0.002043768
Epoch: 0034 cost= 0.001948387
Epoch: 0035 cost= 0.001857926
Epoch: 0036 cost= 0.001773278
Epoch: 0037 cost= 0.001693702
Epoch: 0038 cost= 0.001618136
Epoch: 0039 cost= 0.001546661
Epoch: 0040 cost= 0.001479686
Epoch: 0041 cost= 0.001417055
Epoch: 0042 cost= 0.001358467
Epoch: 0043 cost= 0.001303701
Epoch: 0044 cost= 0.001250639
Epoch: 0045 cost= 0.001199563
Epoch: 0046 cost= 0.001149404
Epoch: 0047 cost= 0.001099654
Epoch: 0048 cost= 0.001051752
Epoch: 0049 cost= 0.001006021
Epoch: 0050 cost= 0.000961372
Epoch: 0051 cost= 0.000918997
Epoch: 0052 cost= 0.000879115
Epoch: 0053 cost= 0.000842307
Epoch: 0054 cost= 0.000806314
